,max_iter,Tolerance,C_param,accuracy
0,50,0.0001,0.001,0.7627024008933556
1,50,0.0001,0.01,0.7961101805322911
2,50,0.0001,0.1,0.801321421924437
3,50,0.0001,1.0,0.8011353061604318
4,50,0.0001,10.0,0.801321421924437
5,50,0.0001,100.0,0.801321421924437
6,50,2.0001,0.001,0.7627024008933556
7,50,2.0001,0.01,0.7627024008933556
8,50,2.0001,0.1,0.7623301693653453
9,50,2.0001,1.0,0.7623301693653453
10,50,2.0001,10.0,0.7623301693653453
11,50,2.0001,100.0,0.7623301693653453
12,50,5.0001,0.001,0.7627024008933556
13,50,5.0001,0.01,0.7627024008933556
14,50,5.0001,0.1,0.7627024008933556
15,50,5.0001,1.0,0.7627024008933556
16,50,5.0001,10.0,0.7627024008933556
17,50,5.0001,100.0,0.7627024008933556
18,50,5.00001,0.001,0.7627024008933556
19,50,5.00001,0.01,0.7627024008933556
20,50,5.00001,0.1,0.7627024008933556
21,50,5.00001,1.0,0.7627024008933556
22,50,5.00001,10.0,0.7627024008933556
23,50,5.00001,100.0,0.7627024008933556
24,50,10.0001,0.001,0.7627024008933556
25,50,10.0001,0.01,0.7627024008933556
26,50,10.0001,0.1,0.7627024008933556
27,50,10.0001,1.0,0.7627024008933556
28,50,10.0001,10.0,0.7627024008933556
29,50,10.0001,100.0,0.7627024008933556
30,100,0.0001,0.001,0.7627024008933556
31,100,0.0001,0.01,0.7961101805322911
32,100,0.0001,0.1,0.801321421924437
33,100,0.0001,1.0,0.8011353061604318
34,100,0.0001,10.0,0.801321421924437
35,100,0.0001,100.0,0.801321421924437
36,100,2.0001,0.001,0.7627024008933556
37,100,2.0001,0.01,0.7627024008933556
38,100,2.0001,0.1,0.7623301693653453
39,100,2.0001,1.0,0.7623301693653453
40,100,2.0001,10.0,0.7623301693653453
41,100,2.0001,100.0,0.7623301693653453
42,100,5.0001,0.001,0.7627024008933556
43,100,5.0001,0.01,0.7627024008933556
44,100,5.0001,0.1,0.7627024008933556
45,100,5.0001,1.0,0.7627024008933556
46,100,5.0001,10.0,0.7627024008933556
47,100,5.0001,100.0,0.7627024008933556
48,100,5.00001,0.001,0.7627024008933556
49,100,5.00001,0.01,0.7627024008933556
50,100,5.00001,0.1,0.7627024008933556
51,100,5.00001,1.0,0.7627024008933556
52,100,5.00001,10.0,0.7627024008933556
53,100,5.00001,100.0,0.7627024008933556
54,100,10.0001,0.001,0.7627024008933556
55,100,10.0001,0.01,0.7627024008933556
56,100,10.0001,0.1,0.7627024008933556
57,100,10.0001,1.0,0.7627024008933556
58,100,10.0001,10.0,0.7627024008933556
59,100,10.0001,100.0,0.7627024008933556
60,150,0.0001,0.001,0.7627024008933556
61,150,0.0001,0.01,0.7961101805322911
62,150,0.0001,0.1,0.801321421924437
63,150,0.0001,1.0,0.8011353061604318
64,150,0.0001,10.0,0.801321421924437
65,150,0.0001,100.0,0.801321421924437
66,150,2.0001,0.001,0.7627024008933556
67,150,2.0001,0.01,0.7627024008933556
68,150,2.0001,0.1,0.7623301693653453
69,150,2.0001,1.0,0.7623301693653453
70,150,2.0001,10.0,0.7623301693653453
71,150,2.0001,100.0,0.7623301693653453
72,150,5.0001,0.001,0.7627024008933556
73,150,5.0001,0.01,0.7627024008933556
74,150,5.0001,0.1,0.7627024008933556
75,150,5.0001,1.0,0.7627024008933556
76,150,5.0001,10.0,0.7627024008933556
77,150,5.0001,100.0,0.7627024008933556
78,150,5.00001,0.001,0.7627024008933556
79,150,5.00001,0.01,0.7627024008933556
80,150,5.00001,0.1,0.7627024008933556
81,150,5.00001,1.0,0.7627024008933556
82,150,5.00001,10.0,0.7627024008933556
83,150,5.00001,100.0,0.7627024008933556
84,150,10.0001,0.001,0.7627024008933556
85,150,10.0001,0.01,0.7627024008933556
86,150,10.0001,0.1,0.7627024008933556
87,150,10.0001,1.0,0.7627024008933556
88,150,10.0001,10.0,0.7627024008933556
89,150,10.0001,100.0,0.7627024008933556
90,200,0.0001,0.001,0.7627024008933556
91,200,0.0001,0.01,0.7961101805322911
92,200,0.0001,0.1,0.801321421924437
93,200,0.0001,1.0,0.8011353061604318
94,200,0.0001,10.0,0.801321421924437
95,200,0.0001,100.0,0.801321421924437
96,200,2.0001,0.001,0.7627024008933556
97,200,2.0001,0.01,0.7627024008933556
98,200,2.0001,0.1,0.7623301693653453
99,200,2.0001,1.0,0.7623301693653453
100,200,2.0001,10.0,0.7623301693653453
101,200,2.0001,100.0,0.7623301693653453
102,200,5.0001,0.001,0.7627024008933556
103,200,5.0001,0.01,0.7627024008933556
104,200,5.0001,0.1,0.7627024008933556
105,200,5.0001,1.0,0.7627024008933556
106,200,5.0001,10.0,0.7627024008933556
107,200,5.0001,100.0,0.7627024008933556
108,200,5.00001,0.001,0.7627024008933556
109,200,5.00001,0.01,0.7627024008933556
110,200,5.00001,0.1,0.7627024008933556
111,200,5.00001,1.0,0.7627024008933556
112,200,5.00001,10.0,0.7627024008933556
113,200,5.00001,100.0,0.7627024008933556
114,200,10.0001,0.001,0.7627024008933556
115,200,10.0001,0.01,0.7627024008933556
116,200,10.0001,0.1,0.7627024008933556
117,200,10.0001,1.0,0.7627024008933556
118,200,10.0001,10.0,0.7627024008933556
119,200,10.0001,100.0,0.7627024008933556
120,500,0.0001,0.001,0.7627024008933556
121,500,0.0001,0.01,0.7961101805322911
122,500,0.0001,0.1,0.801321421924437
123,500,0.0001,1.0,0.8011353061604318
124,500,0.0001,10.0,0.801321421924437
125,500,0.0001,100.0,0.801321421924437
126,500,2.0001,0.001,0.7627024008933556
127,500,2.0001,0.01,0.7627024008933556
128,500,2.0001,0.1,0.7623301693653453
129,500,2.0001,1.0,0.7623301693653453
130,500,2.0001,10.0,0.7623301693653453
131,500,2.0001,100.0,0.7623301693653453
132,500,5.0001,0.001,0.7627024008933556
133,500,5.0001,0.01,0.7627024008933556
134,500,5.0001,0.1,0.7627024008933556
135,500,5.0001,1.0,0.7627024008933556
136,500,5.0001,10.0,0.7627024008933556
137,500,5.0001,100.0,0.7627024008933556
138,500,5.00001,0.001,0.7627024008933556
139,500,5.00001,0.01,0.7627024008933556
140,500,5.00001,0.1,0.7627024008933556
141,500,5.00001,1.0,0.7627024008933556
142,500,5.00001,10.0,0.7627024008933556
143,500,5.00001,100.0,0.7627024008933556
144,500,10.0001,0.001,0.7627024008933556
145,500,10.0001,0.01,0.7627024008933556
146,500,10.0001,0.1,0.7627024008933556
147,500,10.0001,1.0,0.7627024008933556
148,500,10.0001,10.0,0.7627024008933556
149,500,10.0001,100.0,0.7627024008933556
